Herb Name,Immunity,Weight loss,Weight Gain,Teeth and bone Strength,Knee pain/arthritis,Blood detoxification,Infections& wounds,Body Pain,Skin disease,Inactiveness,Gastric&Intestine troubles,Hyperthermia/ Fever,Diabetes,"Cold,cough,throat infections",Vision concerns,Nerve disorder,PCOS,Headache,Respiratory concerns,Kidney & urinary problems,Heart problems,Constipation,Diarrhoea,Liver,Male Reproductive concerns
 Arugampul ,9,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ashwagandha ,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
Athimathuram ,0,0,0,0,0,0,5,0,0,0,0,6,0,2,0,0,0,0,9,0,0,0,0,0,0
Arapu Leaves,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ammal Pacharisi ,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Athi Leaves,0,0,0,0,0,8,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Arasu Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,0,7,0,0,0,0
Avuri Leaves,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Arasu Seeds,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,9,0,0,0
Arasu pattai,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athi pattai,0,0,0,0,0,8,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amukura ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7
Agraharam,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0
Ashoka pattai,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Aada Thodai,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0
Aavaram Flowers,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0
Aadu Theenda Palai,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avarai Panchangam,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0
Aalamaram Seeds,7,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Aalamaram pattai,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Orange Peel,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aali Seeds,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,6,7,0,0,0
Aavarai Leaves,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavangam pattai,0,0,0,0,0,0,8,0,0,0,9,7,0,7,0,0,0,0,0,0,0,0,0,2,0
Indhupu Flowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impural Flowers,0,0,0,0,0,10,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Usilai,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oridhal Thamarai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lemon Peel,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Omam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kandangkathiri,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Kadukaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Kasthuri Manjal,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0
Curry Leaves,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Karunjeeragam,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,2
Kabasura,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karungaali pattai,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Karuvelam pattai,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kandanthipilli,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0
Kalarchikaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
